,,,,
Total,2490334,, ,hello
Other,271791,2218543,89.09%,
SmallInteger,167482,104309,4.19%,
Character,191350,80441,3.23%,
Float,271750,41,0.00%,
Nil,190265,81526,3.27%,
TRUE,270746,1045,0.04%,
FALSE,267362,4429,0.18%,
,,,,
Total,2440454356,,,compileAll
Other,175715964,2264738392,92.80%,
SmallInteger,117875297,57840667,2.37%,
Character,77790981,97924983,4.01%,
Float,175334703,381261,0.02%,
Nil,161003711,14712253,0.60%,
TRUE,174179013,1536951,0.06%,
FALSE,172397052,3318912,0.14%,
,,,,
Total,6617617,,,largePrimes
Other,271289,6346328,95.90%,
SmallInteger,167554,103735,1.57%,
Character,191269,80020,1.21%,
Float,271243,46,0.00%,
Nil,189260,82029,1.24%,
TRUE,270248,1041,0.02%,
FALSE,266871,4418,0.07%,
,,,,
Total,2486300,,,primes
Other,270510,2215790,89.12%,
SmallInteger,167096,103414,4.16%,
Character,190967,79543,3.20%,
Float,270489,21,0.00%,
Nil,188412,82098,3.30%,
TRUE,269493,1017,0.04%,
FALSE,266113,4397,0.18%,